,x_labels,numbers_of_receptors,receptor_density
0,Precentral_L,32231.33051940147,9.141046658934052
1,Precentral_R,35273.86366460426,10.43296766181729
2,Frontal_Sup_2_L,58144.40669885371,11.931952944562633
3,Frontal_Sup_2_R,64061.289035212714,12.49488766046669
4,Frontal_Mid_2_L,55905.39865623182,12.398624674258553
5,Frontal_Mid_2_R,68686.52730900701,14.13303031049527
6,Frontal_Inf_Oper_L,12669.796618697233,12.205969767531053
7,Frontal_Inf_Oper_R,20831.711993921548,14.890430303017547
8,Frontal_Inf_Tri_L,30862.86445576558,12.203584205522175
9,Frontal_Inf_Tri_R,27335.427324170712,12.708241433831107
10,Frontal_Inf_Orb_2_L,11442.321528549772,14.056906054729449
11,Frontal_Inf_Orb_2_R,12876.180647476576,14.732472136700888
12,Rolandic_Oper_L,17119.463758376893,17.292387634724133
13,Rolandic_Oper_R,24369.308124856558,18.309021881935806
14,Supp_Motor_Area_L,27396.642286108807,12.760429569682723
15,Supp_Motor_Area_R,30972.079464571085,13.062876197625933
16,Olfactory_L,6851.007301807404,24.467883220740728
17,Olfactory_R,6841.125315666199,23.67171389503875
18,Frontal_Sup_Medial_L,41028.70688106585,13.712803101960512
19,Frontal_Sup_Medial_R,32006.163524794858,14.998202214055697
20,Frontal_Med_Orb_L,14700.48269631574,20.445733930898108
21,Frontal_Med_Orb_R,18876.968847617973,22.052533700488286
22,Rectus_L,18877.769872426987,22.157006892519938
23,Rectus_R,17552.836830615997,23.56085480619597
24,OFCmed_L,9614.56243940629,17.481022617102347
25,OFCmed_R,11453.62255416857,18.44383664117322
26,OFCant_L,5645.41127819242,12.743592050095755
27,OFCant_R,9089.684439035133,14.027290800980143
28,OFCpost_L,8370.996423163451,14.763662121981396
29,OFCpost_R,8531.338445043657,15.207376907386198
30,OFClat_L,2285.0841168095358,11.599411760454496
31,OFClat_R,2335.36712769093,12.422165572824095
32,Insula_L,39662.98883497575,21.347141461235605
33,Insula_R,41436.7479448528,23.410592059238873
34,Cingulate_Ant_L,24419.44821805088,17.442463012893484
35,Cingulate_Ant_R,23714.6490425081,18.061423490105177
36,Cingulate_Mid_L,30974.442464698106,15.95798169227105
37,Cingulate_Mid_R,38843.84286399232,17.632248236038276
38,Cingulate_Post_L,5287.9042484140955,11.420959499814462
39,Cingulate_Post_R,3175.505149730481,9.479119849941736
40,Hippocampus_L,11503.977554829326,12.343323556683826
41,Hippocampus_R,12104.509568498004,12.795464660145882
42,ParaHippocampal_L,8717.447407661937,8.913545406607298
43,ParaHippocampal_R,11400.783557162154,10.071363566397663
44,Amygdala_L,4156.671173095703,18.89395987770774
45,Amygdala_R,4660.330225375947,18.79165413458043
46,Calcarine_L,37455.86069630645,16.588069396061318
47,Calcarine_R,27778.75330642797,14.926788450525509
48,Cuneus_L,22011.778087938204,14.424494159854655
49,Cuneus_R,19884.834944921546,13.96406948379322
50,Lingual_L,31692.274501457345,15.127577327664604
51,Lingual_R,30973.365500684362,13.466680652471462
52,Occipital_Sup_L,13720.026647984982,10.043943373341861
53,Occipital_Sup_R,11717.311556208879,8.292506409206567
54,Occipital_Mid_L,30084.014438322745,9.200004415389218
55,Occipital_Mid_R,20982.43402732117,10.001160165548699
56,Occipital_Inf_L,10293.413478288334,10.93880284621502
57,Occipital_Inf_R,10106.363472938538,10.218769942303881
58,Fusiform_L,36297.43368636072,15.71317475600031
59,Fusiform_R,40719.499870696105,16.171366112270096
60,Postcentral_L,30369.75646500988,7.803123449385889
61,Postcentral_R,33592.678574454505,8.786994134045123
62,Parietal_Sup_L,20222.65597820608,9.793053742472678
63,Parietal_Sup_R,22051.553058557212,9.924191295480293
64,Parietal_Inf_L,27697.449320059735,11.318941283228336
65,Parietal_Inf_R,19550.776930987835,14.535893628987237
66,SupraMarginal_L,15120.946700930595,12.038970303288691
67,SupraMarginal_R,28506.311332299374,14.44088719974639
68,Angular_L,14154.951663392596,12.067307470922929
69,Angular_R,22612.144094662275,12.906474939875729
70,Precuneus_L,50785.41140002152,14.394957879824693
71,Precuneus_R,47371.58424679004,14.508907885693732
72,Paracentral_Lobule_L,10875.80456285458,8.062123471352542
73,Paracentral_Lobule_R,8551.058425839059,10.228538786888826
74,Caudate_L,48655.1383977551,50.57706694153337
75,Caudate_R,47045.18229333591,47.329157236756444
76,Putamen_L,65481.25891494751,64.89718425663777
77,Putamen_R,70450.35150337219,66.2127363753498
78,Pallidum_L,10485.974485397339,35.7883088238817
79,Pallidum_R,9111.412464141846,32.540758800506595
80,Thalamus_L,14902.36268401146,13.547602440010417
81,Thalamus_R,14872.13171460852,14.070134072477314
82,Heschl_L,4182.837198257446,18.590387547810874
83,Heschl_R,5085.460264724679,20.423535199697508
84,Temporal_Sup_L,32520.522575166076,14.16399066862634
85,Temporal_Sup_R,51741.20952229574,16.472846075229462
86,Temporal_Pole_Sup_L,14900.154680218548,11.595451113010542
87,Temporal_Pole_Sup_R,16373.479736015666,12.237279324376432
88,Temporal_Mid_L,66096.26411286369,13.374395814015315
89,Temporal_Mid_R,74623.17452539317,16.92519267983515
90,Temporal_Pole_Mid_L,12006.413548707962,15.90253450159995
91,Temporal_Pole_Mid_R,19621.16185956821,16.53004368961096
92,Temporal_Inf_L,45771.15111798188,14.303484724369337
93,Temporal_Inf_R,56607.288691073656,15.914334745873955
94,Cerebelum_Crus1_L,7946.590381431859,3.052858387027222
95,Cerebelum_Crus1_R,7289.779345415533,2.7529378192656844
96,Cerebelum_Crus2_L,950.6350428387523,0.5019192412031427
97,Cerebelum_Crus2_R,889.4280407610349,0.4201360608224067
98,Cerebelum_3_L,78.91800328996032,0.5802794359555906
99,Cerebelum_3_R,146.61600618204102,0.7082898849373962
100,Cerebelum_4_5_L,6436.634293596726,5.721452705419312
101,Cerebelum_4_5_R,4842.36421507597,5.624116393816458
102,Cerebelum_6_L,13105.080654385034,7.736175120652322
103,Cerebelum_6_R,12084.887572087813,6.732527895313545
104,Cerebelum_7b_L,537.2170261470601,0.9183197028154874
105,Cerebelum_7b_R,475.8950223280117,0.891189180389535
106,Cerebelum_8_L,2562.2911211210303,1.3578649290519504
107,Cerebelum_8_R,2954.818136213813,1.2802504922936797
108,Cerebelum_9_L,729.4490385032259,0.839412012086566
109,Cerebelum_9_R,500.8950231517665,0.6191533042667077
110,Cerebelum_10_L,-0.4320000037550926,-0.003000000026077032
111,Cerebelum_10_R,-0.4770000041462481,-0.003000000026077032
112,Vermis_1_2,45.739001986570656,0.8630000374824652
113,Vermis_3,185.5340079991147,0.8137456491189241
114,Vermis_4_5,1074.6540484377183,1.616021125470253
115,Vermis_6,606.9380253339186,1.6359515507652793
116,Vermis_7,164.70300755277276,0.8489845750142926
117,Vermis_8,362.3810169119388,1.4912799049874024
118,Vermis_9,120.24200558196753,0.6910460090917674
119,Vermis_10,9.676000553648919,0.08639286208615106
